case_id,symptom,topology_note,show_output,expected_fault,osi_layer,concept_tag,severity
C001,PC in VLAN 10 cannot ping PC in VLAN 20. Gateway ping works for both.,Two PCs on same switch. Router connected via trunk. Sub-interfaces configured on router.,"show interfaces trunk: VLAN 10 allowed, VLAN 20 NOT in allowed list",VLAN 20 missing from trunk allowed list,Layer 2 - Data Link,VLAN Trunking,High
C002,All PCs on VLAN 10 cannot get an IP address via DHCP. Static IP works fine.,Router is DHCP server. PCs are on different subnet than router DHCP interface.,"show ip dhcp pool: network 192.168.10.0/24 configured. show interfaces gi0/1: ip helper-address missing",ip helper-address not configured on router interface facing clients,Layer 3 - Network,DHCP Relay,High
C003,PC can ping gateway but cannot reach internet. Other PCs on same VLAN work.,Single PC issue. NAT is configured on border router.,"show ip nat translations: no entry for PC IP 192.168.1.50. show access-list 1: permits 192.168.1.0 0.0.0.63 only",PC IP 192.168.1.50 is outside the NAT ACL range (/26 only covers .1-.62),Layer 3 - Network,NAT PAT,Medium
C004,PC gets IP but browser shows DNS error. Ping to 8.8.8.8 works fine.,DHCP pool configured on router.,"show ip dhcp pool LAN: dns-server field is empty",No DNS server configured in DHCP pool,Layer 7 - Application,DNS DHCP,Medium
C005,New access switch connected to distribution switch. All ports stuck in Blocking state.,Distribution switch is root bridge. New switch has higher priority value set.,show spanning-tree: new switch elected as Root Bridge. Distribution switch ports in Blocking.,New switch has lower priority value causing it to win root election,Layer 2 - Data Link,STP,High
C006,HSRP standby router becomes Active even though primary is still up.,Primary router came back online after reboot. Preempt not configured.,"show standby: R2 is Active, R1 is Standby despite higher priority",preempt not configured on primary router so it stays Standby after recovery,Layer 3 - Network,HSRP,Medium
C007,SSH connection to router times out. Telnet works.,SSH configured but connections rejected.,"show ip ssh: SSH disabled. show running-config: no crypto key present",RSA key not generated (crypto key generate rsa missing),Layer 7 - Application,SSH Security,Medium
C008,EtherChannel between two switches not forming. Ports show as individual links.,LACP configured on SW1 as active. SW2 config unknown.,"show etherchannel summary: no port-channel. show interfaces fa0/1: not part of channel",SW2 has PAgP desirable configured instead of LACP — protocol mismatch,Layer 2 - Data Link,EtherChannel,High
C009,PC cannot ping default gateway. IP address and mask are correct.,"PC is on 192.168.10.0/24. Router interface gi0/0 is 192.168.10.1/24.","show interfaces gi0/0: line protocol is down",Router interface gi0/0 is administratively shut down,Layer 1 - Physical,Interface Down,High
C010,OSPF neighbors not forming between R1 and R2. Both have OSPF enabled.,"R1 gi0/0: 192.168.12.1/30 area 0. R2 gi0/0: 192.168.12.2/30 area 1.","show ip ospf neighbor: empty on both routers",Area ID mismatch — R1 in area 0 and R2 in area 1 on the same link,Layer 3 - Network,OSPF,High
C011,PC in VLAN 30 cannot ping PC in VLAN 10. Inter-VLAN routing configured via SVI on Layer 3 switch.,"SVIs created for VLAN 10 and VLAN 30. ip routing enabled.","show ip route: VLAN 30 network present. show interface vlan30: line protocol is down",VLAN 30 not created on the switch (VLAN not in VLAN database),Layer 2 - Data Link,VLAN SVI,High
C012,Extended ACL blocking all traffic including traffic it should permit.,ACL applied inbound on gi0/0.,"show access-lists: ACL 110: deny ip any any hits increasing. permit statement is below deny",Deny statement placed before permit statement — first-match kills all traffic,Layer 3 - Network,ACL Order,High
C013,Guest Wi-Fi users can access internal server at 10.0.0.5. Security violation.,Guest VLAN 99 should be isolated from internal VLAN 10.,"show access-lists: no ACL applied to VLAN 99 SVI. show ip interface vlan99: no access-group",ACL not applied to guest VLAN SVI interface — guest isolation failure,Layer 3 - Network,ACL Wireless Security,Critical
C014,PC gets APIPA address (169.254.x.x) instead of DHCP address.,DHCP server is on a remote router (different subnet). Relay agent should forward DHCP.,"show ip interface gi0/1: no helper-address. show ip dhcp binding: no entry for PC MAC",ip helper-address missing on the local router interface,Layer 3 - Network,DHCP Relay,High
C015,Routing table on R2 missing the 10.0.0.0/8 network. R1 has it. OSPF is running.,"R1 and R2 are OSPF neighbors (FULL state). R1 gi0/1 facing the 10.0.0.0 network.","show ip ospf interface gi0/1: passive-interface set on R1 gi0/1",passive-interface configured on the network-facing interface — OSPF not advertising,Layer 3 - Network,OSPF Passive,Medium
C016,NAT translations not happening. Inside hosts cannot reach internet.,"NAT overload configured. ACL 1 permits 192.168.0.0/24.","show ip interface gi0/0: ip nat outside NOT configured. gi0/1: ip nat inside configured",ip nat outside not applied to the WAN-facing interface,Layer 3 - Network,NAT Config,High
C017,PC1 pings PC2 successfully but PC2 cannot ping PC1 back.,Standard ACL applied incorrectly.,"show access-lists: ACL 10 denies 192.168.20.0/24. show ip interface gi0/0: ACL 10 out",Standard ACL placed close to source instead of destination — blocking return traffic,Layer 3 - Network,ACL Placement,Medium
C018,After VLAN 40 was added to the network no PCs in VLAN 40 can communicate.,VLAN 40 created. Access ports assigned. Trunk link between switches exists.,"show interfaces trunk: VLAN 40 not in allowed VLAN list on trunk between SW1 and SW2",VLAN 40 not added to trunk allowed list — traffic cannot cross to the other switch,Layer 2 - Data Link,VLAN Trunk,High
C019,PC cannot reach DNS server at 8.8.8.8 but can ping it by IP.,"DNS server reachable by IP (ping works). Browser shows cannot resolve domain.","show ip dhcp pool: dns-server 8.8.9.9 (typo — wrong DNS IP in DHCP pool)",Incorrect DNS server IP configured in DHCP pool,Layer 7 - Application,DNS Config,Medium
C020,Two PCs assigned the same IP address causing intermittent connectivity for both.,DHCP server and a static IP assignment both assigned 192.168.1.10.,"show ip dhcp conflict: 192.168.1.10 detected. show ip dhcp binding: 192.168.1.10 leased to PC-A",IP conflict — 192.168.1.10 not excluded from DHCP pool but manually assigned to PC-B,Layer 3 - Network,DHCP Conflict,High
C021,ACL blocks telnet correctly but also blocks OSPF hellos — neighbours dropping.,"Extended ACL applied inbound on gi0/0. OSPF uses IP protocol 89.","show access-lists: deny tcp any any eq 23. permit ip any any MISSING — implicit deny hits OSPF",Permit statement missing before implicit deny — OSPF packets (IP proto 89) being dropped,Layer 3 - Network,ACL OSPF,Critical
C022,PC in VLAN 10 gets correct IP via DHCP but cannot reach the router gateway.,PC is in VLAN 10. Router sub-interface gi0/0.10 configured for VLAN 10.,"show interfaces gi0/0.10: encapsulation dot1Q 20 (wrong VLAN tag)",Sub-interface gi0/0.10 has dot1Q encapsulation set to VLAN 20 instead of VLAN 10,Layer 2 - Data Link,Router-on-a-Stick,High
